Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument
511626,RRFIN,RR FINANCIAL CONSULTANTS LTD.,Active,XT,10.0,INE229D01011,Finance (including NBFCs),Equity
511628,FEDDERSHOL,FEDDERS HOLDING LIMITED,Active,B,1.0,INE417D01020,,Equity
511630,SAMBHAAV,SAMBHAAV MEDIA LTD.,Active,B,1.0,INE699B01027,Publishing,Equity
511632,OLYMTFI,OLYMPIC MANAGEMENT & FINANCIAL,Active,XT,10.0,INE091N01014,,Equity
511634,AXENTRA,AXENTRA CORP LIMITED,Active,X,10.0,INE919M01026,,Equity
511636,DJSSS,DJS STOCK & SHARES LTD.,Active,XT,1.0,INE234E01027,,Equity
511644,OMEGAIN,OMEGA INTERACTIVE TECHNOLOGIES,Active,X,1.0,INE113B01037,,Equity
511654,SUGALDAM,SUGAL & DAMANI SHARE BROKERS L,Active,X,10.0,INE309D01011,Finance (including NBFCs),Equity
511658,NETTLINX,NETTLINX LTD.,Active,X,10.0,INE027D01019,IT Software Products,Equity
511660,PREMCAPM,PREMIUM CAPITAL MARKET & INVES,Active,XT,10.0,INE555D01019,,Equity
511664,BGIL,BGIL FILMS & TECHNOLOGIES LTD.,Active,X,10.0,INE443D01018,Movies & Entertainment,Equity
511672,SCANSTL,Scan Steels Limited,Active,T,10.0,INE099G01011,Iron & Steel/Interm.Products,Equity
511676,GICHSGFIN,GIC HOUSING FINANCE LTD.,Active,B,10.0,INE289B01019,Housing Finance,Equity
511688,MATHEWE,MATHEW EASOW RESEARCH SECURITI,Active,XT,10.0,INE963B01019,Finance (including NBFCs),Equity
511692,AJCON,AJCON GLOBAL SERVICES LTD.,Active,X,1.0,INE759C01027,,Equity
511696,CHRTEDCA,CHARTERED CAPITAL & INVESTMENT,Active,X,10.0,INE953B01010,Other Financial Services,Equity
511700,STANCAP,STANDARD CAPITAL MARKETS LTD.,Active,X,1.0,INE625D01028,,Equity
511702,YOGI,YOGI LIMITED,Active,B,10.0,INE290E01011,Finance (including NBFCs),Equity
